date, value
12/31/1928,37.88
12/31/1929,-11.91
12/31/1930,-28.48
12/31/1931,-47.07
12/31/1932,-15.15
12/30/1933,46.59
12/31/1934,-5.94
12/31/1935,41.37
12/31/1936,27.92
12/31/1937,-38.59
12/31/1938,25.21
12/30/1939,-5.45
12/31/1940,-15.29
12/31/1941,-17.86
12/31/1942,12.43
12/31/1943,19.45
12/30/1944,13.8
12/31/1945,30.72
12/31/1946,-11.87
12/31/1947,0
12/31/1948,-0.65
12/31/1949,10.26
12/30/1950,21.78
12/31/1951,16.46
12/31/1952,11.78
12/31/1953,-6.62
12/31/1954,45.02
12/30/1955,26.4
12/31/1956,2.62
12/31/1957,-14.31
12/31/1958,38.06
12/31/1959,8.48
12/30/1960,-2.97
12/29/1961,23.13
12/31/1962,-11.81
12/31/1963,18.89
12/31/1964,12.97
12/31/1965,9.06
12/30/1966,-13.09
12/29/1967,20.09
12/31/1968,7.66
12/31/1969,-11.36
12/31/1970,0.1
12/31/1971,10.79
12/29/1972,15.63
12/31/1973,-17.37
12/31/1974,-29.72
12/31/1975,31.55
12/31/1976,19.15
12/30/1977,-11.5
12/29/1978,1.06
12/31/1979,12.31
12/31/1980,25.77
12/31/1981,-9.73
12/31/1982,14.76
12/30/1983,17.27
12/31/1984,1.4
12/31/1985,26.33
12/31/1986,14.62
12/31/1987,2.03
12/30/1988,12.4
12/29/1989,27.25
12/31/1990,-6.56
12/31/1991,26.31
12/31/1992,4.46
12/31/1993,7.06
12/30/1994,-1.54
12/29/1995,34.11
12/31/1996,20.26
12/31/1997,31.01
12/31/1998,26.67
12/31/1999,19.53
12/29/2000,-10.14
12/31/2001,-13.04
12/31/2002,-23.37
12/31/2003,26.38
12/31/2004,8.99
12/30/2005,3
12/29/2006,13.62
12/31/2007,3.53
12/31/2008,-38.49
12/31/2009,23.45
12/31/2010,12.78
12/30/2011,0
12/31/2012,13.41
12/31/2013,29.6
12/31/2014,11.39
12/31/2015,-0.73
12/30/2016,9.54
12/29/2017,19.42
12/31/2018,-6.24
12/31/2019,28.88
12/31/2020,16.26
12/31/2021,26.89
9/2/2022,-17.66
